"","pcs_sicore","X","offre","fonction","offre_clean","sect","siren","fap2009_detaillee","fap2009_inter","fap2009_agreg"
"1","233b",45399,"Peintre industriel (H/F)","Ouvrier/Artisan","industriel","Industrie/Environnement",750017048,"L6Z00","L6Z","L"
"2","233b",6909,"Peintre industriel h/f","Production/Opérations","industriel","Industrie/Environnement",814814968,"L6Z00","L6Z","L"
"3","233b",41717,"Peintre industriel (H/F)","","industriel","Industrie/Environnement",420800757,"L6Z00","L6Z","L"
"4","233b",25741,"Peintre industriel (H/F)","Ouvrier/Artisan","industriel","Services",337080543,"L6Z00","L6Z","L"
"5","233b",28023,"Peintre industriel (H/F)","","industriel","Industrie/Environnement",519215370,"L6Z00","L6Z","L"
"6","233b",20004,"Peintre industriel h/f","Production/Opérations","industriel","Services",415018464,"L6Z00","L6Z","L"
"7","233b",54384,"Peintre Industriel (H/F)","Ouvrier/Artisan","industriel","Industrie/Environnement",433999356,"L6Z00","L6Z","L"
"8","233b",53322,"Peintre industriel  (H/F)","","industriel","Industrie/Environnement",489140210,"L6Z00","L6Z","L"
"9","233b",26426,"Peintre industriel (H/F)","Production/Opérations","industriel","Industrie/Environnement",503002529,"L6Z00","L6Z","L"
"10","233b",49731,"Peintre industriel  (H/F)","Production/Opérations","industriel","Industrie/Environnement",305082018,"L6Z00","L6Z","L"
"11","233b",9187,"Peintre industriel (h/f)","Ouvrier/Artisan","industriel","Industrie/Environnement",391498565,"L6Z00","L6Z","L"
"12","233b",2068,"Industrie (H/F)","Production/Opérations","industrie","Industrie/Environnement",501849269,"L6Z00","L6Z","L"
"13","233b",35674,"Peintre industriel (H/F)","","industriel","Industrie/Environnement",418232575,"L6Z00","L6Z","L"
"14","233b",39203,"Peintre industriel H/F","Administration/Services généraux","industriel","Services",415018464,"L6Z00","L6Z","L"
"15","233b",6883,"Peintre Industriel (H/F)","Ouvrier/Artisan","industriel","Industrie/Environnement",528808702,"L6Z00","L6Z","L"
"16","233b",21057,"Peintre industriel H/F","Administration/Services généraux","industriel","Services",415018464,"L6Z00","L6Z","L"
"17","233b",2549,"Peintre industriel H/F","Production/Opérations","industriel","Industrie/Environnement",481577385,"L6Z00","L6Z","L"
"18","233b",53965,"Peintre industriel (H/F)","","industriel","",300154374,"L6Z00","L6Z","L"
"19","233b",5436,"Peintre Industriel H/F","Production/Opérations","industriel","Industrie/Environnement",415018464,"L6Z00","L6Z","L"
"20","233b",1884,"Peintre industriel (H/F)","Production/Opérations","industriel","Industrie/Environnement",329925010,"L6Z00","L6Z","L"
"21","233b",53787,"Peintre industriel(le) (H/F)","Ouvrier/Artisan","industriel","Industrie/Environnement",329925010,"L6Z00","L6Z","L"
"22","233b",58420,"Peintre industriel H/F","Production/Opérations","industriel","BTP/Construction",415018464,"L6Z00","L6Z","L"
"23","233b",37679,"1 peintre industriel (H/F)","Ouvrier/Artisan","industriel","Industrie/Environnement",347691362,"L6Z00","L6Z","L"
"24","233b",41364,"Peintre industriel  (H/F)","","industriel","Industrie/Environnement",804171551,"L6Z00","L6Z","L"
"25","233b",15746,"Peintre industriel (H/F)","Production/Opérations","industriel","Industrie/Environnement",754002194,"L6Z00","L6Z","L"
"26","233b",6880,"Peintre industriel (h/f)","Ouvrier/Artisan","industriel","Industrie/Environnement",501548903,"L6Z00","L6Z","L"
"27","233b",24472,"Peintre industriel h/f","Production/Opérations","industriel","Médecine/Santé",415018464,"L6Z00","L6Z","L"
"28","233b",22797,"Peintre industriel (H/F)","Production/Opérations","industriel","Industrie/Environnement",500028089,"L6Z00","L6Z","L"
"29","233b",43364,"Peintre industriel (H/F)","Production/Opérations","industriel","Industrie/Environnement",352070122,"L6Z00","L6Z","L"
"30","233b",5113,"Peintre industriel (H/F)","Production/Opérations","industriel","Industrie/Environnement",442836938,"L6Z00","L6Z","L"
"31","233b",42829,"Peintre industriel (H/F)","Production/Opérations","industriel","Industrie/Environnement",343718318,"L6Z00","L6Z","L"
"32","233b",5159,"Peintre Industriel H/F","Production/Opérations","industriel","Industrie/Environnement",415018464,"L6Z00","L6Z","L"
"33","233b",17915,"Peintre Industriel H/F","Production/Opérations","industriel","Industrie/Environnement",415018464,"L6Z00","L6Z","L"
"34","233b",2654,"Peintre industriel (H/F)","Ouvrier/Artisan","industriel","Industrie/Environnement",337080543,"L6Z00","L6Z","L"
"35","233b",38091,"Peintre industriel h/f","Administration/Services généraux","industriel","Industrie/Environnement",415018464,"L6Z00","L6Z","L"
"36","233b",30665,"Peintre industriels (H/F)","Production/Opérations","industriels","Industrie/Environnement",338752991,"L6Z00","L6Z","L"
"37","233b",24368,"Peintre industriel (H/F)","","industriel","",483727897,"L6Z00","L6Z","L"
"38","233b",18721,"Peintre Industriel (H/F)","Ouvrier/Artisan","industriel","Industrie/Environnement",451329908,"L6Z00","L6Z","L"
"39","233b",50873,"Peintre industriel (H/F)","Production/Opérations","industriel","Industrie/Environnement",337080543,"L6Z00","L6Z","L"
"40","233b",20738,"Peintre industriel h/f","Production/Opérations","industriel","Industrie/Environnement",528568009,"L6Z00","L6Z","L"
"41","233b",1699,"Peintre industriel H/F","Production/Opérations","industriel","Industrie/Environnement",381680289,"L6Z00","L6Z","L"
"42","233b",6854,"Peintre industriel h/f","Production/Opérations","industriel","Industrie/Environnement",509536371,"L6Z00","L6Z","L"
"43","233b",30960,"Peintre industriel (H/F)","Ouvrier/Artisan","industriel","Industrie/Environnement",449897842,"L6Z00","L6Z","L"
"44","233b",42296,"Peintre industriel (h/f)","Production/Opérations","industriel","Industrie/Environnement",397514589,"L6Z00","L6Z","L"
"45","233b",58283,"Peintre Industriel (H/F)","Ouvrier/Artisan","industriel","Industrie/Environnement",528808702,"L6Z00","L6Z","L"
"46","233b",41565,"Peintre industriel  (H/F)","Ouvrier/Artisan","industriel","Industrie/Environnement",397653551,"L6Z00","L6Z","L"
"47","233b",24249,"Peintre industriel(h/f) (h/f)","Production/Opérations","industriel","Industrie/Environnement",337080543,"L6Z00","L6Z","L"
"48","233b",16003,"Peintre industriel  (H/F)","","industriel","Industrie/Environnement",500224639,"L6Z00","L6Z","L"
"49","311c",26173,"Dentiste (H/F)","Médecine/Santé","dentiste","Médecine/Santé",804567287,"V2Z91","V2Z","V"
"50","311d",11381,"Psychologue (H/F)","Médecine/Santé","psychologue","Médecine/Santé",264200460,"V3Z90","V3Z","V"
"51","311e",28012,"Dr Vétérinaire (H/F)","Médecine/Santé","veterinaire","Médecine/Santé",383996378,"V2Z92","V2Z","V"
"52","311e",38143,"Vétérinaire (H/F)","Médecine/Santé","veterinaire","Médecine/Santé",410727929,"V2Z92","V2Z","V"
"53","332a",45658,"Ingénieur Commercial Télécom / IT (H/F)","Commercial/Vente","ingenieur commercial telecom","Télécom/Internet/Médias",802110486,"P2Z90","P2Z","P"
"54","333e",18568,"Chargé(e) de mission (H/F)","Commercial/Vente","charge mission","Industrie/Environnement",444837504,"P2Z90","P2Z","P"
"55","333e",57279,"Juriste en droit social - Besancon (H/F)","Comptabilité/Gestion/Finance","juriste droit social","Services",662820349,"P2Z90","P2Z","P"
"56","333e",50128,"Responsable de site (H/F)","Etudes/Recherches/Ingénieries","responsable site","Industrie/Environnement",534374178,"P2Z90","P2Z","P"
"57","333e",9073,"Chargé de mission (H/F)","","charge mission","Services",803294735,"P2Z90","P2Z","P"
"58","333e",41523,"Responsable de SIte (H/F)","","responsable site","Services",441583135,"P2Z90","P2Z","P"
"59","333e",11892,"Conseiller en assemblées (H/F)","Juridique","conseiller assemblees","Services publics/Administrations",283812006,"P2Z90","P2Z","P"
"60","333e",40272,"Responsable de site (h/f)","Logistique/Achat/Transport","responsable site","Industrie/Environnement",439980293,"P2Z90","P2Z","P"
"61","333e",28681,"Attaché(e Commercial(e) (H/F)","Commercial/Vente","attache","Services",448262428,"P2Z90","P2Z","P"
"62","333e",18650,"Chargé de mission  (H/F)","Commercial/Vente","charge mission","Tourisme",477659668,"P2Z90","P2Z","P"
"63","333e",6018,"Juriste droit social (H/F)","Juridique","juriste droit social","Services",557150067,"P2Z90","P2Z","P"
"64","333e",4971,"Responsable de site (H/F)","Etudes/Recherches/Ingénieries","responsable site","Industrie/Environnement",492339437,"P2Z90","P2Z","P"
"65","333e",20196,"Chargé(e) de mission (H/F)","Etudes/Recherches/Ingénieries","charge mission","BTP/Construction",378522361,"P2Z90","P2Z","P"
"66","333e",23889,"Responsable de site (H/F)","Production/Opérations","responsable site","Agriculture",503681801,"P2Z90","P2Z","P"
"67","333e",29721,"Responsable de site (H/F)","Ménage/Entretien","responsable site","Services",440498046,"P2Z90","P2Z","P"
"68","333e",363,"Charge de mission (H/F)","Etudes/Recherches/Ingénieries","charge mission","BTP/Construction",510021157,"P2Z90","P2Z","P"
"69","333e",17638,"Chargé de mission (H/F)","","charge mission","Services",803294735,"P2Z90","P2Z","P"
"70","333e",22115,"Chargé de mission (H/F)","Administration/Services généraux","charge mission","Agriculture",777966821,"P2Z90","P2Z","P"
"71","333e",20045,"Chargé de mission RH (H/F)","Ressources Humaines/Formation","charge mission","Industrie/Environnement",304577588,"P2Z90","P2Z","P"
"72","341a",53008,"Professeur d'anglais en Lycée (H/F)","","professeur anglais lycee","Services publics/Administrations",779626209,"W0Z90","W0Z","W"
"73","341a",58405,"Enseignant en philosophie  (H/F)","","enseignant philosophie","",783504566,"W0Z90","W0Z","W"
"74","344b",57376,"Médecins du travail (H/F)","Médecine/Santé","medecins travail","Médecine/Santé",785657719,"V2Z90","V2Z","V"
"75","344d",29668,"Pharmacien adjoint (H/F)","Médecine/Santé","pharmacien adjoint","Médecine/Santé",334036860,"V2Z93","V2Z","V"
"76","344d",18405,"Assistant(e) en Pharmacie  (H/F)","Médecine/Santé","assistant pharmacie","Médecine/Santé",488198979,"V2Z93","V2Z","V"
"77","344d",58788,"Assistant(e) en pharmacie (H/F)","Administration/Services généraux","assistant pharmacie","Médecine/Santé",350225033,"V2Z93","V2Z","V"
"78","351a",16703,"Guide conférencier (H/F)","","guide conferencier","Tourisme",490322328,"P2Z90","P2Z","P"
"79","351a",32024,"Guide conférencier (H/F)","Services à la personne","guide conferencier","Tourisme",821990322,"P2Z90","P2Z","P"
"80","352a",8726,"Correspondant local de presse sur St-Apollinaire (H/F)","","correspondant local presse sur","Télécom/Internet/Médias",15750813,"U0Z92","U0Z","U"
"81","352a",57980,"Correspondant local de presse sur Dijon (H/F)","","correspondant local presse sur","Télécom/Internet/Médias",15750813,"U0Z92","U0Z","U"
"82","352a",26466,"Journaliste / pigiste (H/F)","","journaliste pigiste","",815195300,"U0Z92","U0Z","U"
"83","352a",31236,"Stage Journaliste reporter d’image JRI (H/F)","","stage journaliste reporter dimage jri","Télécom/Internet/Médias",822028858,"U0Z92","U0Z","U"
"84","352a",39810,"Webmaster Editorial  (H/F)","Marketing/Communication","webmaster editorial","Médecine/Santé",309802205,"U0Z92","U0Z","U"
"85","352a",57981,"Correspondant local de presse sur Chenôve (H/F)","","correspondant local presse sur","Télécom/Internet/Médias",15750813,"U0Z92","U0Z","U"
"86","352a",35029,"Correspondants locaux de presse (H/F)","","correspondants locaux presse","Télécom/Internet/Médias",419539465,"U0Z92","U0Z","U"
"87","352a",8749,"Correspondant local de presse sur Talant (H/F)","","correspondant local presse sur","Télécom/Internet/Médias",15750813,"U0Z92","U0Z","U"
"88","352a",604,"Reportages photos automobile (H/F)","Ouvrier/Artisan","reportages photos automobile","Sport",304533292,"U0Z92","U0Z","U"
"89","352a",8654,"Pigiste h/f","Marketing/Communication","pigiste","Industrie/Environnement",415018464,"U0Z92","U0Z","U"
"90","352a",50169,"Journaliste-Redacteur Web / Community manager (H/F)","Marketing/Communication","journaliste redacteur web community manager","Services",792103467,"U0Z92","U0Z","U"
"91","353b",58335,"Chargé(e) de production (H/F)","Production/Opérations","charge production","Industrie/Environnement",819968041,"U1Z80","U1Z","U"
"92","353b",37113,"Chargé(e) de Production (H/F)","Marketing/Communication","charge production","Télécom/Internet/Médias",402925663,"U1Z80","U1Z","U"
"93","353b",15782,"Charge de production h/f","Marketing/Communication","charge production","Services",415018464,"U1Z80","U1Z","U"
"94","353c",45751,"Chargé de réalisation (H/F)","Etudes/Recherches/Ingénieries","charge realisation","Industrie/Environnement",437777469,"U1Z80","U1Z","U"
"95","354a",11636,"Designer UX UI (H/F)","Informatique/Internet","designer","Télécom/Internet/Médias",517833448,"U1Z93","U1Z","U"
"96","354a",10033,"UX Designer (H/F)","Informatique/Internet","designer","Télécom/Internet/Médias",799515317,"U1Z93","U1Z","U"
"97","354a",57640,"Directeur Artistique (H/F)","Marketing/Communication","directeur artistique","Services",512267600,"U1Z93","U1Z","U"
"98","354a",10678,"UX / UI Designer (H/F)","","designer","Télécom/Internet/Médias",425014180,"U1Z93","U1Z","U"
"99","354a",10689,"UX / UI Designer (H/F)","Informatique/Internet","designer","Télécom/Internet/Médias",425014180,"U1Z93","U1Z","U"
"100","354b",33125,"Instrumentiste (H/F)","Production/Opérations","instrumentiste","Industrie/Environnement",401471271,"U1Z91","U1Z","U"
"101","354b",46783,"Chef de choeur (H/F)","Formation/Education","chef choeur","Services",530864214,"U1Z91","U1Z","U"
"102","354c",28633,"Figurant (Père Noel) (H/F)","Service Client/Accueil","figurant","Hôtellerie/Restauration",305836033,"U1Z91","U1Z","U"
"103","354g",19084,"Professeur Arts Appliqués (H/F)","Formation/Education","professeur arts appliques","Services",334992047,"U1Z91","U1Z","U"
"104","354g",56503,"Professeur de trompette (H/F)","Formation/Education","professeur trompette","",402450514,"U1Z91","U1Z","U"
"105","354g",57769,"Professeur de danse (H/F)","","professeur danse","",331366526,"U1Z91","U1Z","U"
"106","354g",30273,"Professeur de chant (H/F)","Formation/Education","professeur chant","Services",430396465,"U1Z91","U1Z","U"
"107","354g",47501,"Professeur(e) de Flûte Traversière (29) (H/F)","Services à la personne","professeur flute traversiere","Services",479624132,"U1Z91","U1Z","U"
"108","354g",25300,"Professeur d'education musicale (H/F)","Formation/Education","professeur education musicale","Services publics/Administrations",786264929,"U1Z91","U1Z","U"
"109","354g",44996,"Professeur(e) de violoncelle (H/F)","","professeur violoncelle","Services",522206408,"U1Z91","U1Z","U"
"110","354g",32234,"Professeur de Musique (H/F)","Formation/Education","professeur musique","Services",810232777,"U1Z91","U1Z","U"
"111","372a",4697,"Conseiller en Investissement Immobilier (H/F)","Commercial/Vente","conseiller investissement immobilier","Immobilier",518521117,"L5Z90","L5Z","L"
"112","372a",34804,"Conseiller en investissement immobilier (H/F)","Commercial/Vente","conseiller investissement immobilier","Immobilier",518521117,"L5Z90","L5Z","L"
"113","372a",8345,"Conseiller financier (h/f), grenoble","Direction Générale","conseiller financier","Banque/Assurance/Finance",998823504,"L5Z90","L5Z","L"
"114","372a",22973,"Conseiller investissement immobilier (H/F)","Commercial/Vente","conseiller investissement immobilier","Immobilier",524272978,"L5Z90","L5Z","L"
"115","372a",22981,"Conseiller investissement immobilier (H/F)","Commercial/Vente","conseiller investissement immobilier","Immobilier",524272978,"L5Z90","L5Z","L"
"116","372a",49719,"Conseiller financier en prêt (H/F)","","conseiller financier pret","Banque/Assurance/Finance",500951140,"L5Z90","L5Z","L"
"117","372a",32904,"Conseiller(e) financier indépendant(e) (H/F)","","conseiller financier independant","Banque/Assurance/Finance",510868474,"L5Z90","L5Z","L"
"118","372a",49722,"Conseiller financier en prets (H/F)","","conseiller financier prets","Banque/Assurance/Finance",500951140,"L5Z90","L5Z","L"
"119","372a",21001,"Conseiller financier (H/F)","Comptabilité/Gestion/Finance","conseiller financier","Banque/Assurance/Finance",821422243,"L5Z90","L5Z","L"
"120","372a",628,"Conseiller financier (H/F)","Commercial/Vente","conseiller financier","Banque/Assurance/Finance",428783872,"L5Z90","L5Z","L"
"121","372a",23538,"Conseiller financier (H/F)","Commercial/Vente","conseiller financier","Banque/Assurance/Finance",821422243,"L5Z90","L5Z","L"
"122","372a",49732,"Conseiller financier en prêts (H/F)","","conseiller financier prets","Banque/Assurance/Finance",500951140,"L5Z90","L5Z","L"
"123","372a",32537,"Conseiller financier(e) indépendant(e) (H/F)","Comptabilité/Gestion/Finance","conseiller financier independant","Banque/Assurance/Finance",479976326,"L5Z90","L5Z","L"
"124","372a",57628,"Conseiller(e) financier (H/F)","Commercial/Vente","conseiller financier","Banque/Assurance/Finance",808613293,"L5Z90","L5Z","L"
"125","372a",25078,"Conseiller financier immobilier (H/F)","Commercial/Vente","conseiller financier immobilier","Banque/Assurance/Finance",499365369,"L5Z90","L5Z","L"
"126","372a",56126,"Conseiller financier immobilier 75,78,91,95,35 (H/F)","Commercial/Vente","conseiller financier immobilier","Banque/Assurance/Finance",329925010,"L5Z90","L5Z","L"
"127","372a",51411,"Conseiller Financier (H/F)","Commercial/Vente","conseiller financier","Banque/Assurance/Finance",817697527,"L5Z90","L5Z","L"
"128","372a",34515,"Conseiller financier (H/F)","Service Client/Accueil","conseiller financier","Banque/Assurance/Finance",407904010,"L5Z90","L5Z","L"
"129","372a",22975,"Conseiller investissement immobilier (H/F)","Commercial/Vente","conseiller investissement immobilier","Immobilier",524272978,"L5Z90","L5Z","L"
"130","372a",49779,"Conseiller financier indépendant  (H/F)","","conseiller financier independant","Banque/Assurance/Finance",500951140,"L5Z90","L5Z","L"
"131","372a",28059,"Conseiller en financement immobilier (H/F)","Commercial/Vente","conseiller financement immobilier","Banque/Assurance/Finance",538199829,"L5Z90","L5Z","L"
"132","372a",51657,"Conseiller en financement immobilier (H/F)","Conseil/Audit","conseiller financement immobilier","Banque/Assurance/Finance",489992214,"L5Z90","L5Z","L"
"133","372b",35818,"Expert comptable (H/F)","Comptabilité/Gestion/Finance","expert comptable","",490990199,"L5Z90","L5Z","L"
"134","372b",29058,"Expert comptable stagiaire (H/F)","Comptabilité/Gestion/Finance","expert comptable stagiaire","Banque/Assurance/Finance",377180195,"L5Z90","L5Z","L"
"135","372b",13159,"Controleur de Gestion Industriel (H/F)","Comptabilité/Gestion/Finance","controleur gestion industriel","Industrie/Environnement",337080543,"L5Z90","L5Z","L"
"136","372b",49505,"Expert-comptable stagiaire (H/F)","Comptabilité/Gestion/Finance","expert comptable stagiaire","Banque/Assurance/Finance",803636455,"L5Z90","L5Z","L"
"137","372b",24825,"Contrôleur de Gestion  (H/F)","Comptabilité/Gestion/Finance","controleur gestion","Télécom/Internet/Médias",490072063,"L5Z90","L5Z","L"
"138","372b",34343,"Contrôleur de Géstion H/F","Comptabilité/Gestion/Finance","controleur gestion","Industrie/Environnement",381680289,"L5Z90","L5Z","L"
"139","372b",14033,"Expert comptable (h/f)","Comptabilité/Gestion/Finance","expert comptable","Banque/Assurance/Finance",337080543,"L5Z90","L5Z","L"
"140","372b",1923,"Contrôleur de gestion Junior (H/F)","Comptabilité/Gestion/Finance","controleur gestion junior","Commerce/Distribution",440803716,"L5Z90","L5Z","L"
"141","372b",52466,"Controleur de gestion (H/F)","Comptabilité/Gestion/Finance","controleur gestion","Hôtellerie/Restauration",343377990,"L5Z90","L5Z","L"
"142","372b",30980,"Auditeur financier (H/F)","Conseil/Audit","auditeur financier","Services",394461123,"L5Z90","L5Z","L"
"143","372b",25010,"Stage contrôle de gestion (H/F)","Comptabilité/Gestion/Finance","stage controle gestion","Services publics/Administrations",819344417,"L5Z90","L5Z","L"
"144","372b",51210,"Controleur de gestion  (H/F)","Comptabilité/Gestion/Finance","controleur gestion","BTP/Construction",529206344,"L5Z90","L5Z","L"
"145","372b",36790,"Contrôleur de gestion en alternance (H/F)","Comptabilité/Gestion/Finance","controleur gestion alternance","Services",484689823,"L5Z90","L5Z","L"
"146","372b",57494,"Expert-comptable Stagiaire H/F","Comptabilité/Gestion/Finance","expert comptable stagiaire","Banque/Assurance/Finance",388596389,"L5Z90","L5Z","L"
"147","372b",32560,"Auditeur h/f","Conseil/Audit","auditeur","Banque/Assurance/Finance",722045622,"L5Z90","L5Z","L"
"148","372b",38335,"STAGE Contrôleur de gestion - Budgétaire (H/F)","Comptabilité/Gestion/Finance","stage controleur gestion budgetaire","Services",775708746,"L5Z90","L5Z","L"
"149","372b",11660,"Stage Auditeur  (H/F)","Conseil/Audit","stage auditeur","Banque/Assurance/Finance",439749953,"L5Z90","L5Z","L"
"150","372b",47854,"CONTROLEUR de GESTION (H/F)","Comptabilité/Gestion/Finance","controleur gestion","Commerce/Distribution",737112300,"L5Z90","L5Z","L"
"151","372b",23647,"Contrôleur de Gestion (H/F)","Comptabilité/Gestion/Finance","controleur gestion","Commerce/Distribution",632750139,"L5Z90","L5Z","L"
"152","372b",20073,"Controleur de gestion  (H/F)","Comptabilité/Gestion/Finance","controleur gestion","Transport/Logistique",334610573,"L5Z90","L5Z","L"
"153","372b",3718,"Contrôleur de gestion h/f","","controleur gestion","",969508563,"L5Z90","L5Z","L"
"154","372b",30663,"Auditeur(rice) comptable H/F","Direction Générale","auditeur comptable","Télécom/Internet/Médias",415018464,"L5Z90","L5Z","L"
"155","372b",55464,"Controleur de gestion (H/F)","Comptabilité/Gestion/Finance","controleur gestion","Commerce/Distribution",319642252,"L5Z90","L5Z","L"
"156","372b",50565,"Contrôleur de gestion (H/F)","Comptabilité/Gestion/Finance","controleur gestion","Agriculture",775617574,"L5Z90","L5Z","L"
"157","372b",36354,"Contrôleur de Gestion Junior (H/F)","Comptabilité/Gestion/Finance","controleur gestion junior","Industrie/Environnement",799363601,"L5Z90","L5Z","L"
"158","372b",43194,"Auditeur (H/F)","Conseil/Audit","auditeur","Services",388480121,"L5Z90","L5Z","L"
"159","372b",11883,"Contrôleur de gestion (H/F)","","controleur gestion","",410234439,"L5Z90","L5Z","L"
"160","372b",19668,"Contrôleur de Gestion (H/F)","Comptabilité/Gestion/Finance","controleur gestion","Transport/Logistique",790138283,"L5Z90","L5Z","L"
"161","372b",43422,"Controleur de gestion  (H/F)","Comptabilité/Gestion/Finance","controleur gestion","Commerce/Distribution",408789055,"L5Z90","L5Z","L"
"162","372b",57559,"Contrôleur de gestion (H/F)","Conseil/Audit","controleur gestion","",410234439,"L5Z90","L5Z","L"
"163","372b",40086,"Controleur de gestion  (H/F)","Comptabilité/Gestion/Finance","controleur gestion","Banque/Assurance/Finance",750850869,"L5Z90","L5Z","L"
"164","372b",2364,"Contrôleur de gestion (H/F)","Comptabilité/Gestion/Finance","controleur gestion","Tourisme",444653612,"L5Z90","L5Z","L"
"165","372b",47569,"Stagiaire Expertise Comptable (H/F)","Comptabilité/Gestion/Finance","stagiaire expertise comptable","Banque/Assurance/Finance",775726417,"L5Z90","L5Z","L"
"166","372b",12736,"Expert-comptable Stagiaire H/F","Comptabilité/Gestion/Finance","expert comptable stagiaire","Banque/Assurance/Finance",388596389,"L5Z90","L5Z","L"
"167","372b",4060,"Expert comptable stagiaire (H/F)","Comptabilité/Gestion/Finance","expert comptable stagiaire","Banque/Assurance/Finance",523821452,"L5Z90","L5Z","L"
"168","372b",19123,"Stage audit / expertise comptable (H/F)","Conseil/Audit","stage audit expertise comptable","Banque/Assurance/Finance",527807754,"L5Z90","L5Z","L"
"169","372b",17826,"Stage Contrôleur de Gestion (H/F)","Comptabilité/Gestion/Finance","stage controleur gestion","Commerce/Distribution",404949430,"L5Z90","L5Z","L"
"170","372b",8503,"Réviseur comptable  (H/F)","","reviseur comptable","",303877153,"L5Z90","L5Z","L"
"171","372b",12409,"Expert-comptable stagiaire H/F","Comptabilité/Gestion/Finance","expert comptable stagiaire","Banque/Assurance/Finance",388596389,"L5Z90","L5Z","L"
"172","372b",8403,"Expert Comptable (H/F)","Comptabilité/Gestion/Finance","expert comptable","Services publics/Administrations",518190244,"L5Z90","L5Z","L"
"173","372b",5928,"Expert comptable (H/F)","Comptabilité/Gestion/Finance","expert comptable","Services",312494511,"L5Z90","L5Z","L"
"174","372b",13474,"Contrôleur / Contrôleuse de Gestion (H/F)","Comptabilité/Gestion/Finance","controleur controleuse gestion","Télécom/Internet/Médias",529894131,"L5Z90","L5Z","L"
"175","372b",12095,"Contrôleur Financier (H/F)","Comptabilité/Gestion/Finance","controleur financier","Immobilier",479146169,"L5Z90","L5Z","L"
"176","372b",11037,"Contrôleur de gestion (H/F)","Administration/Services généraux","controleur gestion","Industrie/Environnement",504332115,"L5Z90","L5Z","L"
"177","372b",40810,"Expert comptable stagiaire (H/F)","Comptabilité/Gestion/Finance","expert comptable stagiaire","Banque/Assurance/Finance",417504925,"L5Z90","L5Z","L"
"178","372b",31353,"Controleur de gestion (H/F)","Comptabilité/Gestion/Finance","controleur gestion","Commerce/Distribution",317410249,"L5Z90","L5Z","L"
"179","372b",29336,"Contrôleur de Gestion (H/F)","Comptabilité/Gestion/Finance","controleur gestion","Immobilier",493123251,"L5Z90","L5Z","L"
"180","372b",9624,"Contrôleur de gestion h/f","Comptabilité/Gestion/Finance","controleur gestion","Industrie/Environnement",450987938,"L5Z90","L5Z","L"
"181","372c",34134,"Stage Consultant en Recrutement (H/F)","Ressources Humaines/Formation","stage consultant recrutement","Services",527935365,"L5Z92","L5Z","L"
"182","372c",5831,"Responsable du personnel (H/F)","Ressources Humaines/Formation","responsable personnel","Commerce/Distribution",442230439,"L5Z92","L5Z","L"
"183","372c",44578,"Drh (H/F)","Comptabilité/Gestion/Finance","drh","Transport/Logistique",312705478,"L5Z92","L5Z","L"
"184","372c",6226,"Responsable de l'administration du personnel (H/F)","Ressources Humaines/Formation","responsable administration personnel","Agriculture",812258663,"L5Z92","L5Z","L"
"185","372c",31721,"Responsable du personnel (H/F)","Ressources Humaines/Formation","responsable personnel","Transport/Logistique",533165429,"L5Z92","L5Z","L"
"186","373c",39879,"Cadre Comptable (H/F)","","cadre comptable","",303877153,"L5Z90","L5Z","L"
"187","373d",58364,"Manager de restauration (H/F)","Hôtellerie/Restauration","manager restauration","Hôtellerie/Restauration",823523915,"L5Z90","L5Z","L"
"188","373d",39845,"Directeur Administratif et Financier  (H/F)","Comptabilité/Gestion/Finance","directeur administratif financier","Services",792332074,"L5Z90","L5Z","L"
"189","373d",38424,"Manager  de restaurant (H/F)","Hôtellerie/Restauration","manager restaurant","Hôtellerie/Restauration",482733474,"L5Z90","L5Z","L"
"190","373d",5684,"Manager de restaurant (H/F)","Hôtellerie/Restauration","manager restaurant","Hôtellerie/Restauration",802863399,"L5Z90","L5Z","L"
"191","373d",53824,"Manager restaurant salle (H/F)","Hôtellerie/Restauration","manager restaurant","Hôtellerie/Restauration",797589256,"L5Z90","L5Z","L"
"192","373d",40945,"Adjoint Chef de Centre (H/F)","","adjoint chef centre","",797573482,"L5Z90","L5Z","L"
"193","373d",20916,"Manager de restaurant (H/F)","Hôtellerie/Restauration","manager restaurant","Hôtellerie/Restauration",798215547,"L5Z90","L5Z","L"
"194","373d",39832,"Directeur Administratif et Financier  (H/F)","Comptabilité/Gestion/Finance","directeur administratif financier","Services",792332074,"L5Z90","L5Z","L"
"195","373d",34167,"Manager de Restaurant (H/F)","Hôtellerie/Restauration","manager restaurant","Hôtellerie/Restauration",750035420,"L5Z90","L5Z","L"
"196","373d",36555,"Manager en restauration (H/F)","","manager restauration","Hôtellerie/Restauration",792289407,"L5Z90","L5Z","L"
"197","373d",54656,"Directeur Administratif et Financier (H/F)","Comptabilité/Gestion/Finance","directeur administratif financier","Commerce/Distribution",330930546,"L5Z90","L5Z","L"
"198","373d",9035,"Manager de restauration  (H/F)","Hôtellerie/Restauration","manager restauration","Hôtellerie/Restauration",811845528,"L5Z90","L5Z","L"
"199","373d",3366,"Directeur administratif financier et juridique (H/F)","Comptabilité/Gestion/Finance","directeur administratif financier juridique","Télécom/Internet/Médias",810704320,"L5Z90","L5Z","L"
"200","373d",18967,"Directeur Administratif et financier (DAF) (H/F)","","directeur administratif financier","BTP/Construction",498934629,"L5Z90","L5Z","L"
